brand,model,variant,fuel_type,body_type,transmission,owner_type,owner_number,kms_driven,model_year,registration_year,engine_displacement,mileage,max_power,torque,color,engine_type,gear_box,drive_type,steering_type,top_speed,acceleration,price,City,car_age
Maruti,Maruti Ertiga,LDI,Diesel,MUV,Manual,1st Owner,1,65002,2015,2015,1248.0,20.77,88.76,200.0,Grey,DDiS Diesel Engine,5 Speed ,FWD,Power,160.0,13.3,521000.0,Kolkata,10
Maruti,Maruti Swift Dzire,VXI,Petrol,Sedan,Manual,1st Owner,1,85862,2015,2015,1197.0,22.41,88.5,113.0,Others,,5 Speed,,Electric,170.0,12.9,342000.0,Kolkata,10
Maruti,Maruti Alto,LXi,Petrol,Hatchback,Manual,2nd Owner,2,70000,2011,2011,796.0,19.7,46.3,62.0,Others,In-Line Engine,5 Speed,FWD,Power,154.5,14.350000000000001,150000.0,Kolkata,14
Mahindra,Mahindra KUV 100 NXT,G80 K4 Plus,Petrol,Hatchback,Manual,1st Owner,1,48005,2017,2017,1198.0,18.15,82.0,115.0,White,mFALCON G80 Engine,5 Speed,FWD,Power,160.0,14.350000000000001,407000.0,Kolkata,8
Hyundai,Hyundai Santro,Sportz BSIV,Petrol,Hatchback,Manual,1st Owner,1,8625,2019,2019,1086.0,20.3,68.0,99.0,Silver,1.1 litre Petrol Engine,5 Speed,FWD,Power,170.0,12.9,459999.99999999994,Kolkata,6
Tata,Tata Altroz,XZ BSVI,Petrol,Hatchback,Manual,1st Owner,1,10000,2020,2020,1199.0,19.33,86.83,113.0,Others,1.2 l Revotron,5-Speed,,Electric,170.0,12.9,725000.0,Kolkata,5
Skoda,Skoda Laura,Elegance 2.0 TDI CR MT,Diesel,Sedan,Manual,1st Owner,1,67000,2012,2012,1949.5,20.0,108.5,250.0,Maroon,Turbocharged Diesel Engin,5 Speed,FWD,Power,170.0,12.9,340000.0,Kolkata,13
Tata,Tata Altroz,XZ BSVI,Petrol,Hatchback,Manual,1st Owner,1,10000,2020,2020,1199.0,19.33,86.83,113.0,Others,1.2 l Revotron,5-Speed,,Electric,170.0,12.9,735000.0,Kolkata,5
Hyundai,Hyundai Creta,1.6 CRDi SX Option,Diesel,SUV,Manual,1st Owner,1,50000,2018,2018,1582.0,19.67,126.2,259.9,Others,U2 CRDI VGT Engine,6 Speed,FWD,Power,182.5,11.549999999999997,1200000.0,Kolkata,7
Maruti,Maruti Zen Estilo,LXI,Petrol,Hatchback,Manual,3rd Owner,3,60000,2011,2011,998.0,19.0,67.1,90.0,Red,K Series Petrol Engine,5 Speed,FWD,Power,160.0,14.350000000000001,145000.0,Kolkata,14
